title,view_count,like_count,channel_name,published
"[#밥친구] 수상한 점이 한둘이 아닌 김일성, 김정일의 죽음🤨 백두혈통을 둘러싼 음모론! | #이제만나러갑니다 648회",424612,4097,채널A WORLD,2024-06-02T13:00:10Z
[#이만갑모아보기] '北의 속삭임'에 넘어가 가족과 함께 새로운 삶을 꿈꿨던 경제학 박사의 사연은? #공작원 #오길남 | 이제 만나러 갑니다 594 회,859848,5567,play 채널A,2023-05-07T18:40:15Z
[#밥친구] 해외 파견된 북한 MZ 노동자들의 심상치 않은 움직임! 열악한 北의 노동 환경 | #이제만나러갑니다 644회,1536096,16072,채널A WORLD,2024-05-05T13:00:12Z
시리아에 파견된 北 외교관! K-드라마에 흠뻑 빠지다?! | 이제 만나러 갑니다 641 회,46327,670,play 채널A,2024-04-08T14:05:17Z
[#이만갑모아보기] 쉿! 국정원 요원이 말해주는 탈북민 마음 돌리기 작전! | 이제 만나러 갑니다 608 회,410428,3535,play 채널A,2023-08-13T15:49:43Z
김정은의 총애와 신임을 받는 北 외무상 최선희! 그녀는 어떻게 북한의 실세가 되었나? | #이제만나러갑니다 642회,946393,10661,채널A WORLD,2024-04-21T13:00:29Z
[#이만갑모아보기] 감옥도 죽음도 불사하는 탈북 브로커들! 그들이 브로커를 그만둔 충격적 이유 #북한 #탈북 | 이제 만나러 갑니다 585 회,142534,1394,play 채널A,2023-05-10T10:07:56Z
전 세계에서 일어난 北 외교관 탈북 러시! 리일규 참사가 전하는 北의 현실 | 이제 만나러 갑니다 660 회,65538,776,play 채널A,2024-08-19T14:19:50Z
[#밥친구] 북한의 삼엄한 감시와 암흑 같은 현실! 북 외교관의 어두운 현실 | 이제 만나러 갑니다 631 회,1858006,17771,채널A WORLD,2024-02-01T13:00:00Z
"[#이만갑모아보기] 협곡 사이사이가 모두 군수 공장?! 김정은의 '마음의 고향', 군수시설의 메카 자강도! #자강도 #북한 | 이제 만나러 갑니다 646 회",62650,732,play 채널A,2024-05-12T15:34:07Z
[#이만갑모아보기] 실력이 있어도 빽(?) 좋으면 그만! 차별이 난무하는 北 스포츠 세계 #운동선수 #국가대표 | 이제 만나러 갑니다 658 회,40738,384,play 채널A,2024-08-04T16:12:56Z
[#부칸썰] 갈수록 더 심해지는 北 빈부격차! 살아남기 위한 주민들의 인기 돈벌이 수단은?🔍 | #이만갑 1시간 몰아보기,167555,2523,play 채널A,2024-07-19T09:00:13Z
[#밥친구] 실제 브로커 등판!!! 남몰래 북한으로 돈 송금하는 방식 공개!? | 이제 만나러 갑니다 638 회,570698,8161,채널A WORLD,2024-03-24T13:00:28Z
[#밥친구] 실제 브로커 등판!!! 남몰래 북한으로 돈 송금하는 방식 공개!? | 이제 만나러 갑니다 638 회,570698,8161,채널A WORLD,2024-03-24T13:00:28Z
아내의 '신분' 때문에 탈북 결심! 北 사회에도 계급이 있다?! | 이제 만나러 갑니다 659 회,62876,689,play 채널A,2024-08-12T14:43:00Z
[#밥친구] 2024년 북한의 현황을 파헤친다! 김정은 정권에 등 돌리는 MZ 세대?! | #이제만나러갑니다 655회,617229,7235,채널A WORLD,2024-07-21T13:00:37Z
거짓으로 밝혀진 김정일의 사망 장소! 북한은 왜 거짓말을 했을까 | 이제 만나러 갑니다 648 회,29304,329,play 채널A,2024-05-27T14:46:32Z
