title,view_count,like_count,channel_name,published
[#아빠는꽃중년] 반오십 인생 처음 겪는 난이도ㅋㅋㅋ 자신 있게 도전한 육아 2시간 만에 뻗은 이유♨♨ | 아빠는 꽃중년 13 회,42966,337,play 채널A,2024-07-18T14:32:06Z
[#클립배송] 이야~ 먹방 한번 제대로 하네!! 인생 2회차 먹방하는 신성우 아들 환준이|#아빠는꽃중년 17화 | 아빠는 꽃중년 17 회,20380,171,채널에이드: 채널A Drama & Enjoy,2024-08-23T12:49:23Z
"[#아빠는꽃중년] 살면서 처음으로 밝히는 재욱의 속내, 강박 속에 살아온 이유는?? | 아빠는 꽃중년 13 회",62966,435,play 채널A,2024-07-18T14:42:08Z
[예고] 아야네 어머니가 한국에 왔다! 장모님을 위한 사위 이지훈의 특별한 투어 | 아빠는 꽃중년 19 회,7377,25,play 채널A,2024-08-30T10:08:33Z
[#아빠는꽃중년] 동현에겐 잔소리 늦둥이 동생에겐 사랑 가득(?) 딸 바보가 된 구라의 하루 | 아빠는 꽃중년 7 회,304747,2211,play 채널A,2024-05-30T14:49:00Z
딸 키우는 아빠 공감(?) 갑자기 시작된 딸 희수의 레스토랑 상황극 | 아빠는 꽃중년 17 회,15783,124,play 채널A,2024-08-23T13:02:09Z
"[#클립배송]※경축※78세 김용건, 드디어 첫손주 얻었다! 하정우 쏙빼닮은 손주 대공개!  | 아빠는 꽃중년 9 회 | 아빠는 꽃중년 9 회",40097,308,채널에이드: 채널A Drama & Enjoy,2024-06-21T12:44:03Z
[#아빠는꽃중년] 쉴 틈 없는 재욱의 하루♨ 구연동화부터 자전거 교육까지 혼자 다 하는 만능 아빠 #안재욱 #육아 | 아빠는 꽃중년 3 회,133980,955,play 채널A,2024-05-02T14:44:18Z
가족과의 이별 후 시간이 멈춰버린 DJ DOC 정재용의 안타까운 일상.. 2년 간 보지 못한 딸을 그리워하는 아빠😥 | 아빠는 꽃중년,30730,205,빼밀리,2024-08-07T03:00:01Z
[#아빠는꽃중년] 구라가 지은 MC그리가 동현의 앞길을 막아왔다?! 역술가가 본 그리의 운명.. | 아빠는 꽃중년 14 회,103064,796,play 채널A,2024-07-25T14:48:30Z
[#아빠는꽃중년] 운동회는 핑계고(?) 운동회가 걱정인 중년의 설움ㅋㅋ #신성우 #안재욱 | 아빠는 꽃중년 6 회,60543,527,play 채널A,2024-05-23T14:41:11Z
"[#톡쏘능]  최초공개📢김구라의 12살 연하 아내👰와 늦둥이 딸👶 그리고, 성숙해진 동현 ""이제 내 가족이구나 싶다"" #아빠는꽃중년 7회",260679,2673,채널에이드: 채널A Drama & Enjoy,2024-06-02T03:00:04Z
50대에 두 아이의 아빠가 된 성우♥ 결혼이 늦었던 이유는?! | 아빠는 꽃중년 1 회,67788,463,play 채널A,2024-04-19T13:04:40Z
[예고] ♨시작된 헬육아♨ 출산 후 집으로 돌아온 이지훈♥아야네에게 찾아온 첫 번째 위기는? | 아빠는 꽃중년 18 회,52616,103,play 채널A,2024-08-23T06:28:39Z
우당탕탕탕♨ 살림 초보 티나는 범수의 요리(?)  | 아빠는 꽃중년 18 회,9425,38,play 채널A,2024-08-30T13:06:52Z
